product_id,stock_on_hand
WDC0002-BMT-XS,3
WDC0003-IND-L,2
WDC0003-IND-M,4
WDC0003-IND-S,5
WDC0003-IND-XL,1
WDC0003-IND-XS,3
WKC0001-MSL-S,5
WKC0001-MSL-XL,1
WKC0001-PWT-L,2
WKC0001-PWT-M,3
WKC0001-PWT-S,4
WKC0001-PWT-XL,1
WKC0001-PWT-XS,2
WKC0012-WWT-L,2
WKC0012-WWT-M,3
WKC0012-WWT-S,4
WKC0012-WWT-XS,2
WTC0001-VCR-L,1
WTC0001-VCR-M,3
WTC0001-VCR-S,4
WTC0001-VCR-XS,2
WTC0001-WHT-L,2
WTC0001-WHT-M,4
WTC0001-WHT-S,5
WTC0001-WHT-XL,1
WTC0001-WHT-XS,3
WTC0002-WHT-L,2
WTC0002-WHT-M,3
WTC0002-WHT-S,4
WTC0002-WHT-XS,2
WYC0003-YSR-L,2
WYC0003-YSR-M,4
WYC0003-YSR-S,5
WYC0003-YSR-XL,1
WYC0003-YSR-XS,3
HAC0081-ARA-OS,2
HAC0081-GCS-OS,2
HAC0081-NOM-OS,2
HAC0081-PMO-OS,2
HAC0081-PRS-OS,2
HAC0082-SUN-OS,2
MAH2150-NVY-OS,5
UAC0154-LBL-OS,2
WBS2213-LIN-L,1
WBS2213-LIN-M,2
WBS2213-PTD-L,1
WBS2213-PTD-M,2
WBS2213-PTD-S,3
WBS2223-FTG-26,2
WBS2223-FTG-27,3
WBS2223-FTG-28,2
WBS2223-FTG-29,1
WBS2223-FTG-30,1
WBS2228-PIR-L,2
WBS2228-PIR-M,4
WBS2228-PIR-S,4
WBS2228-PIR-XS,3
WBS2232-NAT-L,2
WBS2232-NAT-M,4
WBS2232-NAT-S,5
WBS2232-NAT-XL,1
WBS2232-NAT-XS,2
WBS2237-NVY-L,2
WBS2237-NVY-M,4
WBS2237-NVY-S,4
WBS2237-NVY-XL,1
WBS2237-NVY-XS,2
WBS2237-WSW-L,1
WBS2237-WSW-M,3
WBS2237-WSW-S,4
WBS2237-WSW-XL,1
WBS2237-WSW-XS,2
WDS2201-ALS-L,2
WDS2201-ALS-M,3
WDS2201-ALS-S,4
WDS2201-ALS-XL,1
WDS2201-ALS-XS,2
WDS2201-NJD-L,2
WDS2201-NJD-M,3
WDS2201-NJD-S,4
WDS2201-NJD-XL,1
WDS2201-NJD-XS,2
WDS2205-GYD-L,1
WDS2205-GYD-M,3
WDS2205-GYD-S,4
WDS2205-GYD-XL,1
WDS2205-GYD-XS,2
WDS2205-WBK-L,1
WDS2205-WBK-M,3
WDS2205-WBK-S,4
WDS2205-WBK-XL,1
WDS2205-WBK-XS,2
WDS2214-BSK-S,3
WDS2214-BSK-XS,2
WDS2215-CWD-L,2
WDS2215-CWD-M,4
WDS2215-CWD-S,5
WDS2215-CWD-XL,1
WDS2215-CWD-XS,3
WDS2221-BIR-XS,2
WKF2107-TCB-L,2
WKF2107-TCB-M,4
WKF2107-TCB-S,5
WKF2107-TCB-XL,1
WKF2107-TCB-XS,3
WOH2113-THB-L,2
WOH2113-THB-M,3
WOH2113-THB-S,4
WOH2113-THB-XL,1
WOH2113-THB-XS,2
WYF2106-NCB-L,2
WYF2106-NCB-M,4
WYF2106-NCB-S,5
WYF2106-NCB-XL,1
WYF2106-NCB-XS,3
WDS2221-BIR-L,1
WDS2221-BIR-M,3
WDS2221-BIR-S,4
WDS2226-CYS-L,1
WDS2226-CYS-M,3
WDS2226-CYS-S,4
WDS2226-CYS-XS,2
WDS2241-IGF-L,2
WDS2241-IGF-M,4
WDS2241-IGF-S,5
WDS2241-IGF-XL,1
WDS2241-IGF-XS,3
WKS2201-SAD-L,2
WKS2201-SAD-M,3
WKS2201-SAD-S,4
WKS2201-SAD-XS,2
WKS2206-NLF-L,1
WKS2210-WBK-L,1
WKS2210-WBK-M,3
WKS2210-WBK-S,4
WKS2210-WBK-XS,2
WKS2210-WSW-L,1
WKS2210-WSW-M,3
WKS2210-WSW-S,4
WKS2210-WSW-XS,2
WKS2212-ARS-L,1
WKS2212-ARS-M,3
WKS2212-ARS-S,4
WKS2212-ARS-XS,2
WKS2212-MAI-L,1
WKS2212-MAI-M,3
WKS2212-MAI-S,4
WKS2212-MAI-XS,2
WKS2212-WHT-L,1
WKS2212-WHT-M,3
WKS2212-WHT-S,4
WKS2212-WHT-XS,2
WKS2215-WHT-L,2
WKS2215-WHT-M,4
WKS2215-WHT-S,4
WKS2215-WHT-XS,2
WKS2222-BEK-L,1
WKS2222-BEK-M,3
WKS2222-BEK-S,4
WKS2222-BEK-XS,2
WKS2229-HBP-L,2
WKS2229-HBP-S,5
WKS2229-HBP-XL,1
