product_id,stock_on_hand
WKU2120-BTD-XS,3
WOH1806-BEP-M,2
WOH1806-BEP-S,3
WOH1806-BEP-XL,1
WSU2101-MPA-L,2
WSU2101-MPA-M,2
WSU2101-MPA-S,3
WSU2101-MPA-XL,1
WSU2102-MPA-L,2
WSU2102-MPA-M,2
WSU2102-MPA-S,3
WSU2102-MPA-XL,1
WSU2103-CAN-L,2
WSU2103-CAN-M,2
WSU2103-CAN-S,3
WSU2103-CAN-XL,1
WSU2103-CAN-XS,1
WSU2104-CAN-L,2
WSU2104-CAN-M,2
WSU2104-CAN-S,3
WSU2104-CAN-XL,1
WSU2104-CAN-XS,1
WSU2105-BSH-L,2
WSU2105-BSH-M,2
WSU2105-BSH-S,3
WSU2105-BSH-XL,1
WSU2105-BSH-XS,1
WSU2106-BSH-L,2
WSU2106-BSH-M,2
WSU2106-BSH-S,3
WSU2106-BSH-XL,1
WSU2106-BSH-XS,1
WSU2107-BSH-L,2
WSU2107-BSH-M,2
WSU2107-BSH-S,3
WSU2107-BSH-XL,1
WSU2107-BSH-XS,1
WTS2103-DPI-M,2
WTS2103-DPI-S,3
WTS2103-DPI-XS,2
WTS2104-CVF-M,1
WTS2104-CVF-S,1
WTS2104-CVF-XL,1
WTS2104-CVF-XS,1
WTS2115-WHT-L,2
WTS2115-WHT-S,1
WTS2115-WHT-XS,1
WTU2106-WHT-XL,1
WTU2106-WHT-XXL,1
WTU2107-PPL-L,2
WTU2107-PPL-M,4
WTU2107-PPL-S,5
WTU2107-PPL-XL,1
WTU2107-PPL-XS,3
WTU2108-BAV-M,2
WTU2108-BAV-S,3
WTU2108-BAV-XL,1
WTU2108-BAV-XS,2
WTU2109-STS-L,2
WTU2109-STS-M,4
WTU2109-STS-S,5
WTU2109-STS-XL,1
WTU2109-STS-XS,3
WTU2109-STS-XXL,1
WTU2109-VTD-L,2
WTU2109-VTD-M,4
WTU2109-VTD-S,5
WTU2109-VTD-XL,1
WTU2109-VTD-XS,3
WTU2109-VTD-XXL,1
WWS2101-CRS-L,1
WWS2101-CRS-M,1
WWS2101-CRS-S,2
WWS2105-IND-S,2
WYU2005-CPS-L,1
WYU2005-CPS-M,1
WYU2005-CPS-S,3
WYU2005-CPS-XL,1
WYU2005-CPS-XS,2
WYU2102-SCR-L,1
WYU2102-SCR-M,2
WYU2102-SCR-S,4
WYU2102-SCR-XS,4
